"year","num_white","num_black","num_orange","num_rabbit","all_daisy","global_temp","luminosity",
"0","336","336","0","168","672","1.01","0.7",
"1","134","184","8","174","326","1.52","0.7",
"2","48","110","10","192","168","6.7","0.7",
"3","25","97","11","193","133","11.34","0.7",
"4","17","95","9","196","121","14.25","0.7",
"5","10","84","11","178","105","15.95","0.7",
"6","9","93","8","153","110","16.91","0.7",
"7","9","106","7","135","122","17.51","0.7",
"8","6","130","12","118","148","17.9","0.7",
"9","5","155","14","98","174","18.3","0.7",
"10","4","171","20","77","195","18.68","0.7",
"11","3","242","23","73","268","18.96","0.7",
"12","2","322","19","72","343","19.58","0.7",
"13","2","400","24","73","426","20.47","0.7",
"14","1","447","23","91","471","21.4","0.7",
"15","1","434","18","113","453","22.21","0.7",
"16","1","427","17","133","445","22.56","0.7",
"17","8","399","18","157","425","22.7","0.7",
"18","8","345","12","183","365","22.37","0.7",
"19","4","240","9","205","253","21.9","0.7",
"20","4","185","10","226","199","21.11","0.7",
"21","2","150","7","219","159","20.35","0.7",
"22","2","150","12","211","164","19.82","0.7",
"23","1","147","11","196","159","19.51","0.7",
"24","1","157","12","175","170","19.38","0.7",
"25","0","171","10","127","181","19.37","0.7",
"26","0","203","10","103","213","19.5","0.7",
"27","0","244","13","80","257","19.78","0.7",
"28","0","333","15","69","348","20.17","0.7",
"29","0","392","18","68","410","20.93","0.7",
"30","0","436","18","77","454","21.68","0.7",
"31","0","475","12","84","487","22.34","0.7",
"32","0","504","9","95","513","22.98","0.7",
"33","1","512","3","128","516","23.51","0.7",
"34","1","431","8","178","440","23.85","0.7",
"35","2","324","7","208","333","23.44","0.7",
"36","4","256","7","229","267","22.51","0.7",
"37","3","182","5","236","190","21.54","0.7",
"38","0","147","6","225","153","20.61","0.7",
"39","0","114","5","205","119","20.0","0.7",
"40","0","99","11","178","110","19.48","0.7",
"41","0","94","16","158","110","19.07","0.7",
"42","0","101","15","133","116","18.8","0.7",
"43","0","139","18","116","157","18.72","0.7",
"44","0","194","21","95","215","18.9","0.7",
"45","0","239","20","80","259","19.34","0.7",
"46","0","307","20","70","327","19.86","0.7",
"47","0","379","27","62","406","20.57","0.7",
"48","0","445","29","72","474","21.34","0.7",
"49","0","525","26","77","551","22.15","0.7",
"50","0","549","21","104","570","23.1","0.7",
"51","1","546","21","118","568","23.78","0.7",
"52","7","492","18","156","517","24.07","0.7",
"53","10","375","17","186","402","23.7","0.7",
"54","12","333","16","207","361","22.66","0.7",
"55","11","291","12","200","314","21.81","0.7",
"56","8","265","12","193","285","21.18","0.7",
"57","7","230","11","167","248","20.77","0.7",
"58","5","220","15","144","240","20.38","0.7",
"59","5","225","14","120","244","20.14","0.7",
"60","5","234","16","109","255","20.07","0.7",
"61","5","255","14","99","274","20.07","0.7",
"62","3","281","18","92","302","20.23","0.7",
"63","2","297","23","99","322","20.51","0.7",
"64","2","297","20","102","319","20.74","0.7",
"65","2","305","14","102","321","20.88","0.7",
"66","2","339","13","110","354","21.05","0.7",
"67","2","373","13","121","388","21.37","0.7",
"68","2","359","10","140","371","21.75","0.7",
"69","2","356","13","144","371","21.88","0.7",
"70","2","354","9","155","365","21.89","0.7",
"71","1","331","12","163","344","21.92","0.7",
"72","0","306","7","175","313","21.79","0.7",
"73","0","263","13","178","276","21.63","0.7",
"74","0","253","14","162","267","21.21","0.7",
"75","0","233","11","154","244","20.93","0.7",
"76","0","242","15","148","257","20.69","0.7",
"77","0","252","12","139","264","20.59","0.7",
"78","0","276","13","131","289","20.63","0.7",
"79","0","323","19","119","342","20.8","0.7",
"80","0","346","24","124","370","21.15","0.7",
"81","0","353","21","133","374","21.44","0.7",
"82","0","353","21","141","374","21.65","0.7",
"83","0","361","17","147","378","21.76","0.7",
"84","0","395","18","147","413","21.9","0.7",
"85","0","382","18","157","400","22.18","0.7",
"86","0","340","18","162","358","22.24","0.7",
"87","0","311","14","159","325","21.99","0.7",
"88","0","288","17","162","305","21.71","0.7",
"89","0","263","16","159","279","21.39","0.7",
"90","0","258","14","159","272","21.07","0.7",
"91","0","243","13","144","256","20.9","0.7",
"92","0","247","15","133","262","20.72","0.7",
"93","0","257","15","123","272","20.64","0.7",
"94","0","249","17","119","266","20.67","0.7",
"95","0","219","18","122","237","20.61","0.7",
"96","0","254","16","122","270","20.38","0.7",
"97","0","245","16","130","261","20.51","0.7",
"98","0","268","13","130","281","20.51","0.7",
"99","0","275","14","142","289","20.69","0.7",
"100","0","260","10","143","270","20.82","0.7",
"101","0","214","10","155","224","20.81","0.7",
"102","0","212","7","157","219","20.51","0.7",
"103","0","238","9","158","247","20.37","0.7",
"104","0","269","9","146","278","20.45","0.7",
"105","0","279","13","133","292","20.7","0.7",
"106","0","334","15","119","349","20.86","0.7",
"107","0","393","14","107","407","21.28","0.7",
"108","0","433","12","108","445","21.89","0.7",
"109","0","421","11","122","432","22.48","0.7",
